Racquet,Overall,Groundstrokes,Volleys,Serves,Returns,Power,Control,Maneuverability,Stability,Comfort,TouchFeel,Topspin,Slice,Price
Babolat Pure Aero 2023,84,84,83,84,86,83,80,85,81,82,81,89,82,$259.00
Babolat Pure Drive Plus,86,87,87,85,85,87,83,82,88,83,82,89,85,$249.00
Babolat Pure Drive,87,85,83,87,85,92,80,85,85,82,79,83,86,$249.00
Babolat Pure Strike 16x19 3rd Gen,86,88,85,86,87,87,84,88,84,84,86,86,87,$139.00
Babolat Pure Strike 18x20 3rd Gen,81,82,86,84,79,80,86,81,85,81,82,80,85,$139.00
Babolat Pure Strike 16x20 2024,8.3,,,,,,,,,,,,,Order Now
Babolat Pure Strike 97 2024,8.7,,,,,,,,,,,,,Order Now
Babolat Pure Strike 98 16x19 2024,8.6,,,,,,,,,,,,,Order Now
Babolat Pure Strike 98 18x20 2024,8.1,,,,,,,,,,,,,Order Now
Babolat Pure Aero Plus 2023,86,87,83,91,81,88,81,79,87,82,80,89,82,$259.00
Babolat Pure Aero Rafa Origin,83,84,90,87,81,93,81,56,96,83,81,86,87,$329.00
Babolat Pure Aero Rafa,82,85,83,85,80,86,77,86,79,78,77,91,81,$299.00
Babolat Pure Aero Team 2023,80,80,79,81,79,83,76,90,72,75,78,88,78,$239.00
Babolat Pure Drive 107,84,87,86,83,84,88,80,79,85,78,78,86,82,$229.00
Babolat Pure Drive 98,,,,,,,,,,,,,,Order Now
Babolat Pure Strike 100 3rd Gen,82,84,82,80,81,83,85,81,82,81,83,84,81,$139.00
Babolat Pure Strike 103,80,82,79,82,81,76,83,91,77,82,77,86,76,$129.00
Babolat Pure Strike Tour 3rd Gen,82,85,77,80,81,83,83,79,84,77,79,81,78,$139.00
Dunlop SX 300 Limited Edition,81,83,82,86,81,87,79,87,79,79,79,91,81,$149.25
Dunlop FX 500 Tour,81,82,82,82,80,82,79,86,79,79,81,88,79,$159.20
Dunlop FX 500,82,82,78,79,79,88,75,83,82,83,77,85,78,$159.20
Dunlop SX 300 Tour,80,81,82,84,80,86,74,83,77,79,78,89,81,$199.00
Dunlop SX 300,81,83,82,86,81,87,79,87,79,79,79,91,81,$199.00
Dunlop CX 200 Tour 16x19,81,81,84,79,80,72,84,82,77,88,85,81,82,$100.00
Dunlop CX 200,81,82,82,79,83,79,83,86,82,84,83,84,82,$100.00
Head Radical MP 2023,84,85,80,84,80,84,84,83,83,84,82,84,83,$259.00
Head Radical Pro 2023,85,87,84,83,84,82,84,78,86,84,83,84,84,$269.00
Head Prestige Classic 2.0,,,,,,,,,,,,,,
Head Prestige MP L 2023,,,,,,,,,,,,,,Order Now
Head Prestige Pro 2023,8.5,,,,,,,,,,,,,Order Now
Head Prestige Tour 2023,8.4,,,,,,,,,,,,,Order Now
Head Speed MP 2024,,,,,,,,,,,,,,Order Now
Head Speed Pro 2024,9.3,,,,,,,,,,,,,Order Now
Head Extreme MP,82,83,77,82,83,83,81,88,78,82,81,87,78,$259.00
Head Extreme Tour,81,81,80,82,76,78,75,83,80,84,78,87,79,$269.00
Head Gravity MP 2023,,,,,,,,,,,,,,Order Now
Head Gravity Pro 2023,86,88,86,84,88,80,88,78,88,89,87,81,88,$269.00
Head Boom MP,81,80,78,88,77,84,77,90,76,87,80,87,77,$99.00
Head Boom Pro,86,86,86,85,85,87,84,84,84,86,86,86,86,$99.00
Lacoste L20,80,81,82,80,79,79,81,93,76,81,80,85,81,$149.00
Prince Ripstick 100 300g,82,84,84,85,83,87,82,82,85,86,81,87,83,$199.00
Prince Textreme Warrior 100,85,86,82,81,85,86,82,85,80,83,83,85,81,$129.00
Prince ATS Textreme Tour 100 290,86,87,84,82,82,83,83,88,79,86,86,88,80,$199.00
Prince ATS Textreme Tour 100 310,84,84,84,82,82,82,83,80,85,86,86,84,84,$199.00
Prince ATS Textreme Tour 100P,86,86,84,84,85,81,86,88,83,85,85,84,85,$199.00
Prince ATS Textreme Tour 95,85,84,84,84,81,78,86,79,86,87,87,83,85,$199.00
Prince ATS Textreme Tour 98,91,93,89,91,88,81,87,89,88,88,87,86,85,$199.00
Prince Hydrogen 300,,,,,,,,,,,,,,
Prince O3 Legacy 105,82,81,80,82,77,85,77,88,76,86,80,86,79,$159.00
Prince Tour Diablo MP,81,85,82,86,83,85,81,78,79,77,77,82,86,$179.00
Prince Twistpower X100 Tour,88,88,85,91,86,88,82,84,86,86,85,86,86,$179.00
Prince Twistpower X100,86,85,82,85,84,88,81,91,81,83,85,87,81,$179.00
Prince Twistpower X105 (290g),84,84,83,81,81,87,79,90,75,85,81,84,81,$179.00
Prince Hydrogen 300,,,,,,,,,,,,,,
Prince Phantom 100G,82,82,86,82,82,75,86,86,85,89,88,88,86,$149.00
Prince Phantom 100X 18x20,83,84,83,82,80,76,85,83,80,90,86,81,83,$149.00
Prince Phantom 100X 305,88,87,86,85,87,82,84,86,85,89,88,88,89,$149.00
Prince Phantom 93P (18x20),85,84,85,83,81,73,90,78,86,87,90,78,87,$149.00
Prince Phantom 97P,81,82,83,85,84,77,85,83,81,90,89,85,82,$149.00
Prince Phantom 107G,84,82,82,81,83,84,78,85,82,90,86,87,86,$149.00
ProKennex Ki Q+ Tour,80,79,84,81,80,76,80,81,79,91,76,79,76,$169.95
ProKennex Black Ace 105,83,83,82,84,82,87,79,80,84,91,81,82,83,$199.00
ProKennex Black Ace 300,80,81,77,82,82,76,83,87,80,93,84,86,83,$199.00
