String,Ref. Ten. (lbs),Swing Speed,Material,Gauge Nominal (mm),Gauge Acutal (mm),Stretch at 40 lbs (%),Stretch at 51 lbs (%),Stretch at 62 lbs (%),Actual Pre-impact Tension (lbs),Dwell Time (ms),Deflection (mm),Tension Change (lbs),Peak Tension (lbs),Peak Perp. Force (lbs),Ave Perp. Force (lbs),Stiffness (lb/in),Static Loss lbs.,Stabilization Loss (lbs),Impact Loss (lbs).,Total Loss (lbs),Tension Loss (%),Energy Return (%),String/String COF,String/Ball COF,Spin Potential
Alien Black Diamond 16,51,Medium,Polyester,1.3,1.31,3,5.2,5.8,25.42,38.6,27.9,39.9,65.3,22.8,,207.5,8.4,16.9,0.33,25.6,50.5,88.5,0.1,0.453,4.5
Alpha Gut 2000 16,51,Medium,Nylon,1.33,NA,7.6,9.1,10,42.71,36.9,27.1,29.1,71.9,24.4,12.2,161.2,4.32,3.69,-0.02,7.9,15.7,96.4,0.161,0.506,3.1
Ashaway Liberty 16,51,Medium,Nylon,1.3,1.33,NA,NA,11.2,38.61,37,26.9,30.2,68.8,23.1,,169.7,7.19,4.92,0.09,12.1,24,95.5,0.094,0.434,4.6
Ashaway Dynamite Soft 17,51,Medium,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,36.76,38.9,28,24.5,61.3,21.4,,127.4,6.99,6.97,0.02,13.9,27.6,94.7,0.204,0.527,2.6
Ashaway MonoGut 16L,51,Medium,Polyester,1.27,1.28,1.8,3,4.2,27.45,37.6,27,41,68.4,23.2,,228,8.16,15.11,0.28,23.6,46.4,89.7,0.106,0.366,3.5
Ashaway MonoGut ZX 16,51,Medium,Nylon/Zyex,1.27,NA,7.9,13,17.9,27.36,41.4,29.8,24.9,52.3,19.5,,114.3,8.38,14.98,0.5,23.8,47,93.1,0.088,0.391,4.4
Ashaway Dynamite 17,51,Medium,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,35.72,38.8,27.9,25.8,61.5,21.4,,135.4,6.62,8.38,0.13,15.2,29.8,92.5,0.138,0.415,3
Ashaway MonoGut 17,51,Medium,Polyester,1.22,1.22,1.8,3.3,4.5,25.78,38.8,28,41,66.8,23.4,,212,8.56,16.38,0.27,25.1,49.7,88.9,0.097,0.378,3.9
Ashaway Dynamite Soft 18,51,Medium,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,36.78,39.4,28,22.3,59.1,20.7,,114.9,6.24,7.7,0.09,14.1,27.7,92.4,NA,NA,NA
Ashaway Synthetic Gut 16,51,Medium,Nylon,1.3,1.33,NA,NA,10.9,38.76,37,26.9,30.9,69.7,23.4,,173.2,7.36,4.6,0.04,11.9,23.7,95.1,0.097,0.446,4.6
